geoid,st,cnty,state,county,All Renter Households,All Cost-Burdened Renter Households,% All Renter Households Cost-Burdened,All Severely Cost-Burdened Renter Households,% All Renter Households Severely Cost-Burdened,ELI Renter Households,ELI Cost-Burdened Renter Households,% ELI Renter Households Cost-Burdened,ELI Severely Cost-Burdened Renter Households,% ELI Renter Households Severely Cost-Burdened,VLI Renter Households,VLI Cost-Burdened Renter Households,% VLI Renter Households Cost-Burdened,VLI Severely Cost-Burdened Renter Households,% VLI Renter Households Severely Cost-Burdened,LI Renter Households,LI Cost-Burdened Renter Households,% LI Renter Households Cost-Burdened,LI Severely Cost-Burdened Renter Households,% LI Renter Households Severely Cost-Burdened,NLI Renter Households,NLI Cost-Burdened Renter Households,% NLI Renter Households Cost-Burdened,NLI Severely Cost-Burdened Renter Households,% NLI Renter Households Severely Cost-Burdened,Renter Households At or Below 30% HAMFI (ELI),Units Affordable At or Below 30% HAMFI (ELI),Deficit or Surplus of Units Affordable At or Below 30% HAMFI (ELI),Affordable Units per 100 Households At or Below 30% HAMFI (ELI),Affordable and Available Units At or Below 30% HAMFI (ELI),Deficit or Surplus of Units Affordable and Available At or Below 30% HAMFI (ELI),Affordable and Available Units per 100 Households At or Below 30% HAMFI (ELI),Renter Households At or Below 50% HAMFI (VLI),Units Affordable At or Below 50% HAMFI (VLI),Deficit or Surplus of Units Affordable At or Below 50% HAMFI (VLI),Affordable Units per 100 Households At or Below 50% HAMFI (VLI),Affordable and Available Units At or Below 50% HAMFI (VLI),Deficit or Surplus of Units Affordable and Available At or Below 50% HAMFI (VLI),Affordable and Available Units per 100 Households At or Below 50% HAMFI (VLI),Renter Households At or Below 80% HAMFI (LI),Units Affordable to LI Renter Households,Deficit or Surplus of Units Affordable to LI Renter Households,Units Affordable to LI Renter Households per 100 LI Renter Households,Units Affordable and Available to LI Renter Households,Deficit or Surplus of Units Affordable and Available to LI Renter Households,Units Affordable and Available to LI Renter Households per 100 LI Renter Households,FMR_0BR,FMR_1BR,FMR_2BR,FMR_3BR,FMR_4BR,state_clean,2020 Weighted RS Means Index,Ratio of State Costs to National Avg. of State Avgs.
0500000US17153,17,153,Illinois,Pulaski County,455,183,0.402197802,119,0.261538462,190,150,0.789473684,115,0.605263158,100,29,0.29,4,0.04,60,4,0.066666667,0,0.0,100,0,0.0,0,0.0,190,230,40,1.210526316,105,-85,55.26315789,290,434,144,149.6551724,294,4,101.3793103,350,474,124,135.4285714,382,32,109.1428571,,,,,,illinois,1.166,1.237
0500000US17155,17,155,Illinois,Putnam County,435,164,0.377011494,94,0.216091954,125,105,0.84,80,0.64,65,35,0.538461538,10,0.153846154,110,24,0.218181818,4,0.036363636,135,0,0.0,0,0.0,125,125,0,1.0,60,-65,48.0,190,370,180,194.7368421,175,-15,92.10526316,300,420,120,140.0,299,-1,99.66666667,,,,,,illinois,1.166,1.237
0500000US17157,17,157,Illinois,Randolph County,2965,925,0.311973019,375,0.126475548,665,490,0.736842105,320,0.481203008,550,325,0.590909091,15,0.027272727,790,110,0.139240506,40,0.050632911,955,0,0.0,0,0.0,665,785,120,1.180451128,365,-300,54.88721805,1215,2325,1110,191.3580247,1065,-150,87.65432099,2005,2785,780,138.9027431,1875,-130,93.51620948,536.0,634.0,778.0,980.0,1126.0,illinois,1.166,1.237
0500000US17159,17,159,Illinois,Richland County,1680,560,0.333333333,290,0.172619048,355,310,0.873239437,225,0.633802817,420,250,0.595238095,65,0.154761905,325,0,0.0,0,0.0,585,0,0.0,0,0.0,355,620,265,1.746478873,220,-135,61.97183099,775,1485,710,191.6129032,655,-120,84.51612903,1100,1690,590,153.6363636,1119,19,101.7272727,,,,,,illinois,1.166,1.237
0500000US17161,17,161,Illinois,Rock Island County,19565,8500,0.434449272,4685,0.239458216,5840,4780,0.818493151,4060,0.695205479,3735,2460,0.658634538,485,0.129852744,3795,990,0.260869565,80,0.021080369,6195,270,0.043583535,60,0.00968523,5840,4115,-1725,0.704623288,2280,-3560,39.04109589,9575,12775,3200,133.4203655,7400,-2175,77.2845953,13370,18960,5590,141.8100224,13525,155,101.1593119,,,,,,illinois,1.166,1.237
0500000US17163,17,163,Illinois,St. Clair County,33445,14885,0.445059052,7990,0.238899686,10440,8590,0.822796935,6885,0.659482759,6385,4375,0.685199687,915,0.14330462,6650,1500,0.22556391,45,0.006766917,9975,420,0.042105263,145,0.014536341,10440,6840,-3600,0.655172414,4455,-5985,42.67241379,16825,22010,5185,130.8172363,14090,-2735,83.74442793,23475,32665,9190,139.1480298,23940,465,101.9808307,1024.0,1155.0,1266.0,1583.0,1801.0,illinois,1.166,1.237
0500000US17165,17,165,Illinois,Saline County,2545,1135,0.445972495,665,0.26129666,905,630,0.696132597,430,0.475138122,595,395,0.663865546,225,0.378151261,435,100,0.229885057,10,0.022988506,610,10,0.016393443,0,0.0,905,960,55,1.060773481,555,-350,61.32596685,1500,1965,465,131.0,1185,-315,79.0,1935,2415,480,124.8062016,1820,-115,94.05684755,,,,,,illinois,1.166,1.237
0500000US17167,17,167,Illinois,Sangamon County,25555,11830,0.462923107,7165,0.28037566,8605,7430,0.863451482,6250,0.726321906,4605,3255,0.706840391,735,0.159609121,5290,970,0.183364839,145,0.027410208,7055,175,0.024805103,35,0.004961021,8605,4470,-4135,0.519465427,2545,-6060,29.57582801,13210,19390,6180,146.7827403,11690,-1520,88.49356548,18500,26030,7530,140.7027027,19525,1025,105.5405405,,,,,,illinois,1.166,1.237
0500000US17169,17,169,Illinois,Schuyler County,555,115,0.207207207,50,0.09009009,80,60,0.75,50,0.625,45,15,0.333333333,0,0.0,160,40,0.25,0,0.0,270,0,0.0,0,0.0,80,69,-11,0.8625,24,-56,30.0,125,329,204,263.2,144,19,115.2,285,579,294,203.1578947,313,28,109.8245614,,,,,,illinois,1.166,1.237
0500000US17171,17,171,Illinois,Scott County,340,84,0.247058824,45,0.132352941,100,60,0.6,45,0.45,85,20,0.235294118,0,0.0,45,4,0.088888889,0,0.0,115,0,0.0,0,0.0,100,190,90,1.9,90,-10,90.0,185,300,115,162.1621622,185,0,100.0,230,345,115,150.0,240,10,104.3478261,,,,,,illinois,1.166,1.237
0500000US17173,17,173,Illinois,Shelby County,1765,598,0.338810198,339,0.192067989,445,385,0.865168539,300,0.674157303,290,155,0.534482759,35,0.120689655,380,54,0.142105263,4,0.010526316,650,4,0.006153846,0,0.0,445,540,95,1.213483146,235,-210,52.80898876,735,1625,890,221.0884354,865,130,117.6870748,1115,1935,820,173.5426009,1330,215,119.2825112,1024.0,1155.0,1266.0,1583.0,1801.0,illinois,1.166,1.237
0500000US17175,17,175,Illinois,Stark County,500,162,0.324,93,0.186,170,104,0.611764706,89,0.523529412,65,54,0.830769231,4,0.061538462,100,4,0.04,0,0.0,160,0,0.0,0,0.0,170,145,-25,0.852941176,65,-105,38.23529412,235,430,195,182.9787234,205,-30,87.23404255,335,480,145,143.2835821,324,-11,96.71641791,,,,,,illinois,1.166,1.237
0500000US17177,17,177,Illinois,Stephenson County,5630,2480,0.440497336,1245,0.221136767,1625,1370,0.843076923,1055,0.649230769,1145,765,0.668122271,65,0.056768559,1075,245,0.227906977,60,0.055813953,1790,100,0.055865922,65,0.036312849,1625,1225,-400,0.753846154,575,-1050,35.38461538,2770,4380,1610,158.1227437,2635,-135,95.12635379,3845,5420,1575,140.9622887,3860,15,100.390117,,,,,,illinois,1.166,1.237
0500000US17179,17,179,Illinois,Tazewell County,12650,4765,0.376679842,2710,0.214229249,2940,2425,0.824829932,2120,0.721088435,2555,1575,0.616438356,355,0.138943249,2730,515,0.188644689,110,0.04029304,4425,250,0.056497175,125,0.028248588,2940,2670,-270,0.908163265,1350,-1590,45.91836735,5495,8965,3470,163.1483167,4740,-755,86.26023658,8225,12475,4250,151.6717325,8490,265,103.2218845,,,,,,illinois,1.166,1.237
